episode,score,epsilon
1,-268.58316302631573,0.8433051360508336
2,-267.2063915416076,0.6563549768288433
3,-272.3123375628931,0.510849320360386
4,-332.859928872986,0.3976004408064698
5,-278.31300999296707,0.30945741577570285
6,-338.3356100821819,0.2408545925762412
7,-328.9371824570779,0.18746015382974018
8,-305.26173582425787,0.14590259167570602
9,-316.6723580023178,0.1135578192100607
10,-254.32308897469534,0.08838347664452084
11,-254.29534081394434,0.06878996970981359
12,-275.7715043159256,0.05354009722551939
13,-281.8056613165578,0.041670929977297724
14,-287.1130679674378,0.032433008066058915
15,-285.02154257553053,0.02524301744132218
16,-272.3468879819744,0.01964695745288379
17,-276.9007870449395,0.01529147369377279
18,-304.3683939410402,0.01190154599194817
19,-288.32324592552834,0.00998645168764533
20,-292.73159515972475,0.00998645168764533
21,-279.2710952563599,0.00998645168764533
22,-285.1494273675836,0.00998645168764533
23,-296.2936978203398,0.00998645168764533
24,-297.42227154805636,0.00998645168764533
25,-272.64977537628124,0.00998645168764533
26,-285.08329000815365,0.00998645168764533
27,-281.2944936516314,0.00998645168764533
28,-286.598694905987,0.00998645168764533
29,-286.42073251222047,0.00998645168764533
30,-312.9187775013734,0.00998645168764533
31,-292.6511821636814,0.00998645168764533
32,-273.70075109593165,0.00998645168764533
33,-275.1217915021424,0.00998645168764533
34,-292.6652340335078,0.00998645168764533
35,-281.1747271383414,0.00998645168764533
36,-253.43729925324772,0.00998645168764533
37,-260.0160527158333,0.00998645168764533
38,-288.17125607812073,0.00998645168764533
39,-284.4923771434301,0.00998645168764533
40,-277.7051882607572,0.00998645168764533
41,-279.95472979990524,0.00998645168764533
42,-284.5773727631897,0.00998645168764533
43,-309.84739194981825,0.00998645168764533
44,-276.2248991494441,0.00998645168764533
45,-288.1562183359676,0.00998645168764533
46,-272.63977746484085,0.00998645168764533
47,-289.62644097626344,0.00998645168764533
48,-276.4822372516495,0.00998645168764533
49,-291.04213208532104,0.00998645168764533
50,-309.32960480486605,0.00998645168764533
51,-274.1025093093056,0.00998645168764533
52,-272.10412850853294,0.00998645168764533
53,-296.082191458632,0.00998645168764533
54,-289.8442119114934,0.00998645168764533
55,-280.9537316283726,0.00998645168764533
56,-266.1812180651747,0.00998645168764533
57,-294.28067987558325,0.00998645168764533
58,-262.0002897472174,0.00998645168764533
59,-273.1391650101045,0.00998645168764533
60,-277.8003219050636,0.00998645168764533
61,-286.6583358811795,0.00998645168764533
62,-275.25575633968634,0.00998645168764533
63,-274.79567460918236,0.00998645168764533
64,-293.13906117062265,0.00998645168764533
65,-278.46941786846224,0.00998645168764533
66,-291.76936162644466,0.00998645168764533
67,-285.27906859643656,0.00998645168764533
68,-297.6428437084789,0.00998645168764533
69,-262.4563175940508,0.00998645168764533
70,-280.3845098928742,0.00998645168764533
71,-290.7203211598306,0.00998645168764533
72,-287.0860978575516,0.00998645168764533
73,-270.62807927685685,0.00998645168764533
74,-279.36419403041845,0.00998645168764533
75,-253.36222193148325,0.00998645168764533
