episode,dqn_score,ddqn_score
1,-251.76576122325827,-249.14973386347992
2,-241.9005716431712,-251.1546909004943
3,-251.40322573725808,-253.80161632209683
4,-252.22262029733858,-242.87170892407775
5,-249.84186813116565,-255.87224641834015
6,-255.8004239698012,-257.77534287448884
7,-250.0408854286111,-254.59514480910266
8,-249.08192641836897,-249.13208763447756
9,-249.72717908286833,-256.923137491715
10,-250.11771287130549,-248.6183044266781
11,-249.6348147941516,-253.79842379749383
12,-248.04346215251027,-241.1412312910731
13,-256.0438456557767,-241.6285732704513
14,-242.09431436666787,-253.68375310261473
15,-252.5332109192706,-240.44374719919318
16,-249.95378037343332,-246.80004044552487
17,-255.87290732150828,-254.94874654100303
18,-239.9036837088764,-249.30784481686914
19,-260.1849572993204,-242.53792500359833
20,-251.76241955567883,-252.31670064789583
21,-249.71121827203902,-250.79404713160432
22,-250.88768029174685,-241.06891092809542
23,-260.0823692428281,-251.02147642720396
24,-266.6539746215823,-250.91904875900826
25,-247.88670902538055,-260.45993940782387
26,-257.8121078208342,-263.25713975684306
27,-242.81232042258478,-257.6749077600381
28,-250.76564759398494,-250.36899254669456
29,-249.05941244333212,-257.03932268420493
30,-249.42820295456022,-238.25809608452317
31,-253.35574239907183,-248.12111091863068
32,-248.07704905820447,-238.70075448230187
33,-254.1623058902295,-250.27551941253148
34,-257.4583650781594,-250.5775799215485
35,-253.78944184583688,-253.21566894976945
36,-246.40745701276626,-256.8293400908085
37,-244.4538234071561,-251.3590161586439
38,-249.0742518401281,-250.66242167130488
39,-252.88827926120845,-242.2864430080274
40,-257.9464459275087,-247.22791055582198
41,-246.66854692919694,-245.05320235801486
42,-249.81711903146476,-241.07922253139793
43,-246.97747651795189,-254.62710458136544
44,-257.3403246002486,-236.04677307161109
45,-255.5590805197698,-236.74679021124567
46,-242.47959233022718,-249.5232595921142
47,-250.3954121722912,-252.71645321527333
48,-255.6089122755032,-249.45684990808212
49,-249.50008527249042,-246.25593590508876
50,-254.71618445757693,-257.73537426195895
51,-242.34921862706526,-249.41968683641448
52,-258.7040759454375,-256.12457655147387
53,-245.40919180829013,-236.78305315801575
54,-246.3405191706284,-251.13687470778103
55,-253.29894811739683,-244.9670413369466
56,-255.69736727554638,-258.7731172023305
57,-241.73222191461124,-245.60096280124264
58,-244.4029358915793,-250.32762424625346
59,-241.66817994174832,-259.816150166226
60,-249.11405783739852,-250.5180822514681
61,-249.09046652615146,-248.62542041194192
62,-262.1776381509237,-259.3056322990931
63,-253.140160816705,-251.3276519695021
64,-250.5891124483441,-254.56692212755036
65,-253.52060042020273,-240.44861323582185
66,-253.57474363133633,-249.01378240188697
67,-255.02160894051565,-249.32275923833265
68,-245.56435747661996,-252.51032016042313
69,-255.05871188682764,-250.24095560768095
70,-250.02177473565774,-261.06547160169356
71,-259.6072014400376,-253.61859081683235
72,-246.51635266077565,-234.81805281039962
73,-252.5676967301332,-253.66999588791757
74,-257.0447640602878,-247.98259484383826
75,-268.12502263054716,-247.4765289672225
76,-253.594513069458,-253.09759980068793
77,-257.00628804550854,-253.25893158635805
78,-259.71631211416405,-257.97716954665043
79,-251.87046207737845,-257.9357434791826
80,-247.91179554067028,-260.14772857058927
81,-244.96822649343036,-248.39164142807113
82,-250.44149067928578,-247.26758040772356
83,-251.6686801059239,-262.99641496931815
84,-243.33700597848846,-251.79519263965753
85,-247.5662384306432,-256.4180862630376
86,-242.25755245418682,-260.43708221468825
87,-246.01580972699736,-239.19885824324618
88,-248.49117149843673,-255.6322325624349
89,-259.1894165740475,-251.53123583393625
90,-237.72327786987762,-240.5393408318275
91,-256.2816207437125,-244.32665184611048
92,-247.28444669232445,-248.71369541737675
93,-256.66958856092435,-242.50763878882015
94,-259.6124554379412,-245.0060679237047
95,-250.57699415031726,-244.94062503440725
96,-237.3917512141812,-251.9159286858491
97,-246.29970147583072,-238.85362618050735
98,-256.76188768701684,-244.91611982790394
99,-246.6044581517846,-253.4106817246136
100,-246.7309802937455,-230.99574302091398
