episode,score
1,-251.46523289853363
2,-253.05080077089204
3,-255.821866834875
4,-257.4737251410427
5,-248.81809832538426
6,-244.70697387600248
7,-250.4368183819107
8,-245.01199224399187
9,-261.16061646776376
10,-248.10782571137955
11,-254.48395996151098
12,-244.70057851578022
13,-250.6611055632192
14,-247.87715557371237
15,-235.11744920153924
16,-253.01828513650247
17,-253.77171927433147
18,-255.42169323890815
19,-260.1000631935828
20,-249.0239627972156
21,-251.22726286306423
22,-243.8000250019316
23,-267.7848717781124
24,-247.78176815572846
25,-250.6399924167355
26,-251.71771699162676
27,-240.70406294420448
28,-249.77665451765014
29,-254.01439018305354
30,-250.78033349338034
31,-251.52737040982754
32,-246.99427870281173
33,-255.03608927796637
34,-257.2693639589657
35,-251.46821291894395
36,-261.3565312783093
37,-247.76891281945822
38,-240.01611430231995
39,-254.18346694283238
40,-249.32406921114043
41,-252.15743656084464
42,-254.0383558968082
43,-243.02982605994842
44,-246.21182579015166
45,-257.03543793213424
46,-237.7778362832709
47,-249.01544652446862
48,-254.0195851863233
49,-247.94798612904344
50,-259.9833071808596
51,-249.37910598973494
52,-248.54947263999483
53,-246.51399061530387
54,-252.41060778835055
55,-266.3059522659807
56,-243.05010638600302
57,-253.14049009033718
58,-266.33591915003933
59,-245.30171510566464
60,-253.19647158456414
61,-251.07215932902082
62,-245.37857602454946
63,-258.7234658662967
64,-256.97360350957973
65,-244.6788600800234
66,-259.1532677292064
67,-247.1812642507527
68,-251.0732270791244
69,-239.7872770250441
70,-258.6748115819106
71,-254.05628555563993
72,-251.25512923869294
73,-248.19321512945467
74,-260.56474157269423
75,-248.47193203558967
76,-252.19665651183138
77,-244.0717193338081
78,-256.6194261017615
79,-248.12598051827368
80,-244.56015711731885
81,-250.87801374563256
82,-239.1474685676165
83,-248.72658372098138
84,-260.8849442843767
85,-252.73073613248377
86,-240.72657912242647
87,-245.43481232073648
88,-246.63440702634142
89,-248.12297203426795
90,-241.09010963565913
91,-257.07897843625705
92,-242.9978751606246
93,-249.00370447377563
94,-264.0470274651268
95,-254.75359850923851
96,-252.43048273547595
97,-241.22241297142557
98,-245.35101684170627
99,-240.03214013298123
100,-255.02218988240173
